,adult.smoking.value_2014,adult.smoking.value_2015,adult.smoking.value_2016,adult.smoking.value_2017,children.in.poverty.value_2017,diabetes.value_2014,diabetes.value_2015,diabetes.value_2016,diabetes.value_2017,drug.overdose.deaths.value_2016,drug.overdose.deaths.value_2017,drug.poisoning.deaths.value_2014,drug.poisoning.deaths.value_2015,excessive.drinking.value_2016,excessive.drinking.value_2017,firearm.fatalities.value_2017,frequent.mental.distress.value_2017,frequent.physical.distress.value_2017,injury.deaths.value_2014,injury.deaths.value_2015,injury.deaths.value_2016,injury.deaths.value_2017,mammography.screening.value_2014,mammography.screening.value_2015,median.household.income.value_2016,median.household.income.value_2017,motor.vehicle.crash.deaths.value_2014,motor.vehicle.crash.deaths.value_2015,motor.vehicle.crash.deaths.value_2016,motor.vehicle.crash.deaths.value_2017,physical.inactivity.value_2014,physical.inactivity.value_2015,physical.inactivity.value_2016,physical.inactivity.value_2017,poor.mental.health.days.value_2014,poor.mental.health.days.value_2015,poor.mental.health.days.value_2016,poor.mental.health.days.value_2017,poor.or.fair.health.value_2014,poor.or.fair.health.value_2015,poor.or.fair.health.value_2016,poor.physical.health.days.value_2014,poor.physical.health.days.value_2015,poor.physical.health.days.value_2016,poor.physical.health.days.value_2017,premature.age.adjusted.mortality.value_2014,premature.age.adjusted.mortality.value_2015,premature.age.adjusted.mortality.value_2016,premature.age.adjusted.mortality.value_2017,premature.death.value_2014,premature.death.value_2015,premature.death.value_2016,premature.death.value_2017,preventable.hospital.stays.value_2014,preventable.hospital.stays.value_2015,preventable.hospital.stays.value_2016,preventable.hospital.stays.value_2017,some.college.value_2014,some.college.value_2015,some.college.value_2016,some.college.value_2017,unemployment.value_2017
177,0.234,0.234,0.184287377451,0.178976716418,0.223788059701,0.095,0.097,0.106286151961,0.110588656716,17.1416605392,18.0768537313,22.09,21.94,0.167385416667,0.168248358209,13.0742331288,0.118764179104,0.118531343284,125.6,118.3,73.10625,76.4804776119,0.54,0.57,,,34.71,20.89,16.2010729614,15.3734369396,0.21,0.187,0.262983455882,0.251965970149,9.2,9.2,3.79540441176,3.88,0.167,0.167,0.167535539216,4.6,4.6,3.85306372549,3.95426865672,410.0,437.7,384.387438725,391.008661888,8555.0,9952.0,,,64.11,31.94,60.6736134969,56.7150089659,0.645,0.637,0.582615196078,0.586505074627,0.0567134328358
178,0.145,0.145,0.154,0.144,0.363,0.074,0.075,0.114,0.08,7.48,8.67,7.83,7.09,0.168,0.168,12.0,0.14,0.16,57.9,50.3,50.7,52.5,0.58,0.57,42360.0,42637.0,21.0,16.87,14.94,14.53,0.216,0.197,0.182,0.216,4.5,4.5,4.4,4.3,0.248,0.248,0.256,4.9,4.9,4.9,5.0,372.1,356.5,353.9,360.7,7367.0,6961.0,6950.0,6922.0,72.21,59.08,51.88,50.32,0.443,0.442,0.431,0.437,0.117
179,0.191,0.191,0.133,0.131,0.216,0.079,0.096,0.103,0.101,26.59,32.83,25.38,25.67,0.188,0.198,13.0,0.11,0.11,94.1,90.4,90.5,94.3,0.68,0.71,49476.0,53136.0,20.82,17.46,16.81,17.03,0.193,0.195,0.161,0.168,3.7,3.7,3.7,3.8,0.132,0.132,0.134,3.7,3.7,3.7,3.7,321.8,320.7,319.0,339.2,6682.0,6973.0,6589.0,6986.0,38.99,32.77,26.48,23.59,0.526,0.553,0.571,0.557,0.071
180,0.121,0.121,0.112,0.099,0.143,0.071,0.07,0.09,0.076,14.28,14.43,10.03,11.66,0.185,0.173,7.0,0.11,0.11,44.5,43.9,45.0,47.6,0.62,0.61,74967.0,79285.0,9.48,8.62,8.48,7.6,0.17,0.167,0.167,0.181,3.6,3.6,3.3,3.5,0.163,0.163,0.147,3.7,3.7,3.4,3.7,253.4,234.2,233.3,233.1,5058.0,4730.0,4777.0,4612.0,45.48,40.52,36.9,33.98,0.615,0.618,0.617,0.62,0.057
181,0.081,0.081,0.124,0.119,0.168,0.07,0.068,0.083,0.069,11.68,12.96,6.43,7.78,0.178,0.19,5.0,0.11,0.12,40.0,39.5,40.9,46.4,0.63,0.62,54509.0,58766.0,10.2,9.22,8.98,8.73,0.15,0.144,0.142,0.153,3.2,3.2,3.7,3.8,0.167,0.167,0.162,3.6,3.6,3.9,3.9,275.0,276.6,283.3,284.8,4891.0,4923.0,5088.0,5211.0,33.39,28.07,21.64,20.12,0.677,0.689,0.686,0.688,0.064
182,0.172,0.172,0.15,0.154,0.317,0.077,0.085,0.092,0.076,9.99,12.17,4.94,5.79,0.188,0.186,11.0,0.12,0.13,83.2,77.0,77.5,81.4,0.57,0.57,41403.0,46500.0,18.95,15.97,13.66,13.31,0.224,0.193,0.151,0.157,5.3,5.3,4.0,4.1,0.223,0.223,0.179,4.3,4.3,4.2,4.3,433.5,418.6,416.5,431.8,7940.0,7558.0,7894.0,7914.0,88.6,70.78,63.98,55.8,0.549,0.539,0.536,0.55,0.092
183,0.169,0.169,0.157,0.156,0.148,0.059,0.062,0.068,0.062,16.14,16.26,13.86,14.93,0.19,0.191,12.0,0.1,0.1,65.8,68.4,68.9,72.0,0.61,0.61,61324.0,63945.0,11.91,10.55,10.15,9.66,0.158,0.152,0.149,0.144,3.1,3.1,3.2,3.5,0.128,0.128,0.131,3.1,3.1,3.3,3.5,293.0,281.1,279.4,279.3,6000.0,5756.0,5731.0,5712.0,43.69,38.19,33.19,32.09,0.694,0.7,0.704,0.71,0.039
184,0.216,0.216,0.181,0.171,0.173,0.067,0.07,0.076,0.072,19.44,18.32,15.77,17.56,0.185,0.182,11.0,0.1,0.11,60.5,62.9,63.3,70.0,0.49,0.5,59316.0,62991.0,11.6,9.55,8.97,8.39,0.204,0.195,0.2,0.189,3.6,3.6,3.3,3.4,0.166,0.166,0.158,3.5,3.5,3.5,3.6,339.1,335.0,337.8,328.3,6371.0,6235.0,6481.0,6506.0,51.78,45.64,35.5,37.25,0.54,0.543,0.554,0.565,0.043
185,0.173,0.173,0.166,0.184,0.302,0.065,0.071,0.089,0.067,30.88,28.61,13.1,15.7,0.17,0.171,15.0,0.13,0.14,85.1,84.7,97.7,99.0,0.5,0.49,38140.0,40067.0,20.59,23.09,24.7,20.62,0.207,0.206,0.189,0.168,3.1,3.1,3.7,3.9,0.153,0.153,0.2,3.5,3.5,4.2,4.3,365.9,400.5,410.4,398.8,8017.0,8496.0,8705.0,9035.0,42.33,42.0,24.77,32.05,0.552,0.561,0.58,0.588,0.052
186,0.154,0.154,0.139,0.149,0.122,0.06,0.061,0.07,0.063,15.98,16.53,15.11,15.53,0.194,0.171,10.0,0.1,0.09,58.0,59.1,60.2,62.6,0.63,0.64,65359.0,67062.0,8.65,7.08,7.07,6.47,0.165,0.162,0.162,0.159,3.2,3.2,3.1,3.3,0.12,0.12,0.116,2.8,2.8,3.0,3.2,273.6,258.8,253.7,249.5,5592.0,5309.0,5246.0,5238.0,41.41,37.44,36.38,32.22,0.696,0.706,0.717,0.725,0.037
